Epoch,Batch,Loss
3,170,0.10353110730648041
4,177,0.10368184745311737
3,171,0.08778568357229233
4,178,0.10112494230270386
3,172,0.08832883834838867
4,179,0.075577512383461
3,173,0.0714501440525055
4,180,0.0880964919924736
4,181,0.07640369981527328
3,174,0.10978399217128754
3,175,0.08593084663152695
3,176,0.07577331364154816
3,177,0.08168496936559677
3,178,0.08092598617076874
3,179,0.07195531576871872
3,180,0.08660714328289032
3,181,0.06659948825836182
5,1,0.09528946876525879
5,2,0.08796201646327972
5,3,0.08293445408344269
5,4,0.10543446987867355
5,5,0.09861938655376434
5,6,0.10611498355865479
5,7,0.08400921523571014
4,1,0.10374937951564789
5,8,0.10225945711135864
4,2,0.05973496660590172
5,9,0.10558914393186569
4,3,0.07092882692813873
5,10,0.08835204690694809
4,4,0.059000592678785324
5,11,0.10461457818746567
4,5,0.07780802994966507
5,12,0.09128020703792572
4,6,0.083930604159832
5,13,0.10191252082586288
4,7,0.08682093024253845
5,14,0.07693592458963394
4,8,0.0882694348692894
5,15,0.10858659446239471
4,9,0.08273068070411682
5,16,0.08140198886394501
4,10,0.07162287831306458
5,17,0.08912795037031174
4,11,0.08182352781295776
5,18,0.07845490425825119
4,12,0.08615031093358994
5,19,0.07898128032684326
4,13,0.08946207165718079
5,20,0.08755969256162643
4,14,0.11725318431854248
5,21,0.07712318748235703
4,15,0.08700954914093018
5,22,0.10683798789978027
4,16,0.07626399397850037
5,23,0.09413834661245346
4,17,0.08184420317411423
5,24,0.09294485300779343
4,18,0.09769271314144135
5,25,0.10337609052658081
4,19,0.100814089179039
5,26,0.0854106992483139
4,20,0.0742141604423523
5,27,0.09282272309064865
4,21,0.08764620870351791
5,28,0.07909092307090759
4,22,0.09773312509059906
5,29,0.07701604813337326
4,23,0.06678526848554611
5,30,0.08283631503582001
4,24,0.07529188692569733
5,31,0.07455940544605255
4,25,0.09395956248044968
5,32,0.1085781455039978
4,26,0.08396999537944794
5,33,0.08339415490627289
4,27,0.1014312133193016
5,34,0.09150155633687973
4,28,0.0855691134929657
5,35,0.09075939655303955
4,29,0.06836975365877151
5,36,0.07279613614082336
4,30,0.08262734860181808
5,37,0.08374373614788055
4,31,0.08275021612644196
5,38,0.0884779840707779
4,32,0.08271418511867523
5,39,0.07107379287481308
4,33,0.06740845739841461
5,40,0.07753508538007736
4,34,0.09301736205816269
5,41,0.08239421248435974
4,35,0.08928215503692627
5,42,0.09256096929311752
4,36,0.08422180265188217
5,43,0.10349775850772858
4,37,0.06778596341609955
5,44,0.11914218962192535
4,38,0.0859231948852539
5,45,0.09016816318035126
4,39,0.08490055799484253
5,46,0.08720807731151581
4,40,0.08513341844081879
5,47,0.08643418550491333
4,41,0.09745447337627411
5,48,0.10707037150859833
4,42,0.0684240385890007
5,49,0.10486909747123718
4,43,0.0992109403014183
5,50,0.06967353820800781
4,44,0.12016311287879944
5,51,0.08898913860321045
4,45,0.0765685960650444
5,52,0.08894920349121094
4,46,0.07667157053947449
5,53,0.08752362430095673
4,47,0.09383690357208252
5,54,0.0834808200597763
4,48,0.06774459034204483
5,55,0.09065157175064087
4,49,0.09999426454305649
5,56,0.07800524681806564
4,50,0.08766335248947144
5,57,0.08712701499462128
4,51,0.07981085777282715
5,58,0.09602287411689758
4,52,0.11600111424922943
5,59,0.07932653278112411
4,53,0.10116272419691086
5,60,0.1057729423046112
4,54,0.07077008485794067
5,61,0.087729811668396
4,55,0.09954506158828735
5,62,0.09257794916629791
4,56,0.11244803667068481
5,63,0.0834014043211937
4,57,0.08825364708900452
5,64,0.06401672959327698
4,58,0.12039594352245331
5,65,0.07374491542577744
4,59,0.08323356509208679
5,66,0.08688907325267792
4,60,0.08998905122280121
5,67,0.07891954481601715
4,61,0.1012619137763977
5,68,0.0735725685954094
4,62,0.09467959403991699
5,69,0.07970410585403442
4,63,0.09109093993902206
5,70,0.09363069385290146
4,64,0.08867963403463364
5,71,0.09098994731903076
4,65,0.07260800898075104
5,72,0.09313248097896576
4,66,0.08732300996780396
5,73,0.08058857172727585
4,67,0.09069641679525375
5,74,0.09957580268383026
4,68,0.1003953069448471
5,75,0.05300605297088623
4,69,0.07927851378917694
5,76,0.08174622803926468
4,70,0.10208101570606232
5,77,0.08559174835681915
4,71,0.09149044752120972
5,78,0.08821823447942734
4,72,0.07988032698631287
5,79,0.09411295503377914
4,73,0.10205385088920593
5,80,0.10282023996114731
4,74,0.09458716958761215
5,81,0.10993167012929916
4,75,0.09150084108114243
5,82,0.0786435529589653
4,76,0.09998685121536255
5,83,0.08948731422424316
4,77,0.08876195549964905
5,84,0.08107698708772659
4,78,0.09273581951856613
5,85,0.08742932975292206
4,79,0.11115749925374985
5,86,0.0827711746096611
4,80,0.07584978640079498
5,87,0.06770236790180206
4,81,0.09049199521541595
5,88,0.06798385828733444
4,82,0.10850518196821213
5,89,0.08155812323093414
4,83,0.0811619758605957
5,90,0.08553257584571838
4,84,0.08206683397293091
5,91,0.08840607106685638
4,85,0.08886643499135971
5,92,0.08100108802318573
4,86,0.08159671723842621
